,,,,,Score,,,,Team,,,,,,,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,,,,,,,,,
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
52,52,2/20/96,,CLE,W,102,76,,39,84,0.464,6,12,0.5,33,72,0.458,0.5,18,27,0.667,22,31,53,27,8,3,11,17,28,70,0.4,7,20,0.35,21,50,0.42,0.45,13,20,0.65,7,23,30,14,5,3,13,26
53,53,2/22/96,@,ATL,W,96,91,,38,79,0.481,7,16,0.438,31,63,0.492,0.525,13,16,0.813,15,30,45,23,5,7,15,15,39,90,0.433,6,23,0.261,33,67,0.493,0.467,7,12,0.583,17,24,41,18,9,1,13,20
54,54,2/23/96,@,MIA,L,104,113,,36,86,0.419,5,18,0.278,31,68,0.456,0.448,27,31,0.871,13,31,44,20,7,0,14,28,40,82,0.488,15,23,0.652,25,59,0.424,0.579,18,28,0.643,8,32,40,22,4,3,14,26
55,55,2/25/96,,ORL,W,111,91,,40,90,0.444,13,27,0.481,27,63,0.429,0.517,18,22,0.818,15,30,45,27,7,4,8,17,37,77,0.481,4,14,0.286,33,63,0.524,0.506,13,24,0.542,6,29,35,21,4,4,12,23
56,56,2/27/96,,MIN,W,120,99,,43,92,0.467,7,20,0.35,36,72,0.5,0.505,27,30,0.9,17,30,47,28,10,3,12,14,40,83,0.482,4,12,0.333,36,71,0.507,0.506,15,20,0.75,12,27,39,24,8,2,17,24
57,57,3/1/96,,GSW,W,110,87,,46,89,0.517,11,20,0.55,35,69,0.507,0.579,7,10,0.7,14,31,45,25,14,4,23,20,29,87,0.333,7,16,0.438,22,71,0.31,0.374,22,27,0.815,21,27,48,15,14,9,21,11
58,58,3/2/96,,BOS,W,107,75,,42,84,0.5,4,16,0.25,38,68,0.559,0.524,19,25,0.76,15,38,53,32,13,8,16,14,34,85,0.4,2,12,0.167,32,73,0.438,0.412,5,10,0.5,13,25,38,18,9,1,18,19
59,59,3/5/96,,MIL,W,115,106,,41,74,0.554,10,15,0.667,31,59,0.525,0.622,23,34,0.676,15,24,39,33,12,9,23,20,42,82,0.512,6,15,0.4,36,67,0.537,0.549,16,21,0.762,12,19,31,24,11,1,18,26
60,60,3/7/96,,DET,W,102,81,,41,91,0.451,5,24,0.208,36,67,0.537,0.478,15,23,0.652,16,30,46,25,12,4,9,20,29,73,0.397,11,24,0.458,18,49,0.367,0.473,12,14,0.857,11,30,41,16,2,0,22,26
61,61,3/10/96,@,NYK,L,72,104,,28,76,0.368,5,13,0.385,23,63,0.365,0.401,11,13,0.846,13,27,40,17,6,3,20,19,43,80,0.538,10,21,0.476,33,59,0.559,0.6,8,8,1,7,32,39,27,8,3,11,19
62,62,3/13/96,,WSB,W,103,86,,40,83,0.482,3,11,0.273,37,72,0.514,0.5,20,27,0.741,13,28,41,18,12,5,15,19,34,77,0.442,4,10,0.4,30,67,0.448,0.468,14,18,0.778,9,23,32,17,7,5,20,25
