,,,,,,,,,,,,,,,,,,,,,
Gtm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
65,42,84,0.5,11,33,0.333,31,51,0.608,0.565,28,33,0.848,7,35,42,28,6,9,8,25
66,47,81,0.58,12,25,0.48,35,56,0.625,0.654,19,23,0.826,8,38,46,30,6,6,18,22
67,46,91,0.505,18,37,0.486,28,54,0.519,0.604,11,12,0.917,12,42,54,32,4,8,13,13
68,48,95,0.505,22,38,0.579,26,57,0.456,0.621,12,14,0.857,5,37,42,35,8,7,13,21
69,31,82,0.378,9,36,0.25,22,46,0.478,0.433,8,10,0.8,7,30,37,24,12,3,11,21
70,43,87,0.494,8,24,0.333,35,63,0.556,0.54,15,24,0.625,13,31,44,31,13,10,17,20
71,39,87,0.448,15,34,0.441,24,53,0.453,0.534,21,28,0.75,11,39,50,23,9,5,12,20
72,43,88,0.489,21,45,0.467,22,43,0.512,0.608,21,23,0.913,7,33,40,30,8,10,7,16
73,44,83,0.53,14,33,0.424,30,50,0.6,0.614,15,20,0.75,7,37,44,32,9,4,18,15
74,38,87,0.437,11,25,0.44,27,62,0.435,0.5,15,23,0.652,7,48,55,27,11,6,16,23
75,39,89,0.438,12,35,0.343,27,54,0.5,0.506,13,18,0.722,9,37,46,19,6,6,18,21
76,38,83,0.458,20,43,0.465,18,40,0.45,0.578,10,13,0.769,8,33,41,25,12,7,22,24
77,50,88,0.568,18,30,0.6,32,58,0.552,0.67,18,22,0.818,11,32,43,30,5,8,13,23
78,49,98,0.5,12,35,0.343,37,63,0.587,0.561,7,8,0.875,9,37,46,35,9,5,24,29
79,45,83,0.542,12,25,0.48,33,58,0.569,0.614,10,11,0.909,7,36,43,33,8,2,16,22
80,39,87,0.448,10,36,0.278,29,51,0.569,0.506,12,13,0.923,7,41,48,20,3,7,11,14
81,34,77,0.442,10,27,0.37,24,50,0.48,0.506,14,18,0.778,7,39,46,19,7,6,13,18
82,46,87,0.529,20,47,0.426,26,40,0.65,0.644,13,16,0.813,12,39,51,35,7,7,17,14
,,,,,,,,,,,,,,,,,,,,,
